Timestamp,Sensor_ID,Nemerow_Index,Predicted_WQI,Status
2026-08-18 19:06:43,SNS-002,5.7289,23.1881,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-003,4.526,39.2777,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-004,3.7926,49.0862,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-002,5.7289,23.1881,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-003,4.526,39.2777,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-004,3.7926,49.0862,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-008,5.264,29.4069,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-009,3.8061,48.9055,CRITICAL G_RUNOFF
2026-08-18 19:06:43,SNS-010,4.3944,41.0374,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-008,5.264,29.4069,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-009,3.8061,48.9055,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-012,5.8345,21.776,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-010,4.3944,41.0374,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-013,5.0784,31.8884,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-012,5.8345,21.776,CRITICAL G_RUNOFF
2026-08-18 19:06:44,SNS-013,5.0784,31.8884,CRITICAL G_RUNOFF
